article,in_degree,out_degree,degree_centrality,pagerank,betweenness
NHS Nightingale Hospital North East,229,0,0.05923435075012933,0.0002848285022663453,0.0
Matt Hancock,229,0,0.05923435075012933,0.0002848285022663453,0.0
Captain Tom Moore,229,0,0.05923435075012933,0.0002848285022663453,0.0
Chris Whitty,229,0,0.05923435075012933,0.0002848285022663453,0.0
COVID-19 pandemic in mainland China,224,1369,0.4120538023797206,0.00028473546392856065,0.00019201750241443802
COVID-19 pandemic in Guadeloupe,221,0,0.05716502845318158,0.0002846941366855348,0.0
COVID-19 pandemic in New Caledonia,221,0,0.05716502845318158,0.0002846941366855348,0.0
COVID-19 pandemic in French Polynesia,221,0,0.05716502845318158,0.0002846941366855348,0.0
COVID-19 pandemic in Saint Barthélemy,221,0,0.05716502845318158,0.0002846941366855348,0.0
COVID-19 pandemic in Mayotte,221,0,0.05716502845318158,0.0002846941366855348,0.0
COVID-19 pandemic in Réunion,221,0,0.05716502845318158,0.0002846941366855348,0.0
COVID-19 pandemic in the Collectivity of Saint Martin,221,0,0.05716502845318158,0.0002846941366855348,0.0
COVID-19 pandemic in Martinique,221,0,0.05716502845318158,0.0002846941366855348,0.0
Neil Ferguson (epidemiologist),228,1350,0.4081738230729436,0.0002846492717528613,9.659757839444678e-05
COVID-19 pandemic on Charles de Gaulle,220,0,0.05690636316606311,0.0002844389804730833,0.0
COVID-19 pandemic in French Guiana,220,0,0.05690636316606311,0.0002844389804730833,0.0
COVID-19 pandemic in Wallis and Futuna,220,0,0.05690636316606311,0.0002844389804730833,0.0
COVID-19 pandemic in Saint Pierre and Miquelon,220,0,0.05690636316606311,0.0002844389804730833,0.0
White House Coronavirus Task Force,228,0,0.058975685463010866,0.0002842509371695864,0.0
COVID-19 pandemic in Europe,228,1381,0.4161924469736161,0.0002842062197317283,8.470529719355576e-05
Political impact of the COVID-19 pandemic,230,0,0.0594930160372478,0.00028409172095262365,0.0
British government response to the COVID-19 pandemic,225,0,0.058199689601655454,0.00028401988132250667,0.0
Impact of the COVID-19 pandemic on Philippine sports,228,0,0.058975685463010866,0.00028390606914765874,0.0
COVID-19 misinformation in the Philippines,228,0,0.058975685463010866,0.00028390606914765874,0.0
SARS-CoV-2 Theta variant,228,0,0.058975685463010866,0.0002835839655845088,0.0
COVID-19 Genomics UK Consortium,229,0,0.05923435075012933,0.00028335706508689755,0.0
Impact of the COVID-19 pandemic on education in the United Kingdom,229,0,0.05923435075012933,0.00028335706508689755,0.0
2020 United Kingdom school exam grading controversy,229,0,0.05923435075012933,0.00028335706508689755,0.0
Climate change,6,0,0.0015519917227108122,0.00028302426225541947,0.0
