article,year,pagerank,in_degree,out_degree,in_degree_cent,out_degree_cent,betweenness,eigenvector
Sleep medicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Sports medicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Subspecialty,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Surgery,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Surgical oncology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Therapy,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Transfusion medicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Trauma surgery,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Travel medicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Tropical medicine,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Urogynecology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Urology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Vascular surgery,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
Venereology,2020,0.00023559479669215509,1,0,0.00023479690068091102,0.0,0.0,0.002986767226283034
List of epidemics and pandemics,2020,0.00023558867282446862,3,0,0.000704390702042733,0.0,0.0,0.020755832475937416
Bibcode (identifier),2020,0.0002355446857843453,6,0,0.001408781404085466,0.0,0.0,0.045720513694640294
South Korea,2020,0.00023550842219455923,3,0,0.000704390702042733,0.0,0.0,0.017729958641126947
Pandemic,2020,0.0002354914365630689,3,0,0.000704390702042733,0.0,0.0,0.01747087735963267
Pathogen,2020,0.00023544804642869417,3,0,0.000704390702042733,0.0,0.0,0.014445003524822201
Epidemic,2020,0.0002354134923886197,2,0,0.00046959380136182204,0.0,0.0,0.011213819995242685
Polio eradication,2020,0.0002354134923886197,2,0,0.00046959380136182204,0.0,0.0,0.011213819995242685
The New York Times,2020,0.0002354128954828711,5,0,0.0011739845034045551,0.0,0.0,0.03920437504875603
Saudi Arabia,2020,0.00023537663189308506,2,0,0.00046959380136182204,0.0,0.0,0.011213819995242685
2009 swine flu pandemic,2020,0.00023537663189308506,2,0,0.00046959380136182204,0.0,0.0,0.011213819995242685
Acute respiratory distress syndrome,2020,0.00023537663189308506,2,0,0.00046959380136182204,0.0,0.0,0.011213819995242685
COVID-19 drug development,2020,0.00023533264485296173,5,0,0.0011739845034045551,0.0,0.0,0.03617850121394556
Antiviral drug,2020,0.00023533264485296173,5,0,0.0011739845034045551,0.0,0.0,0.03617850121394556
Western African Ebola virus epidemic,2020,0.00023531930763941682,2,0,0.00046959380136182204,0.0,0.0,0.009273154547068601
Novel coronavirus,2020,0.00023531625612721997,2,0,0.00046959380136182204,0.0,0.0,0.00792886487893794
HIV/AIDS,2020,0.00023529503930069042,4,0,0.0009391876027236441,0.0,0.0,0.03160302801623538
Science (journal),2020,0.00023529503930069042,4,0,0.0009391876027236441,0.0,0.0,0.03160302801623538
Wayback Machine,2020,0.00023529503930069042,4,0,0.0009391876027236441,0.0,0.0,0.03160302801623538
RNA,2020,0.00023521478867078103,4,0,0.0009391876027236441,0.0,0.0,0.028577154181424903
1510 influenza pandemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1557 influenza pandemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1563 London plague,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1592–1593 London plague,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1592–1593 Malta plague epidemic,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
1603 London plague,2020,0.00023520145145723614,1,0,0.00023479690068091102,0.0,0.0,0.0016718075145479502
